title;type of estate;City;Region;Total Price;Price per Square Meter;Area;Room number;Build_year;Floor_no;Heating;MarketType;Building_ownership;Extras_types;Rent;Equipment_types;Construction_status;Building_type;Building_material;Media_types;Security_types;latitude;longitude
Piękne mieszkanie przy Ul. Marszałkowskiej;FLAT;Warszawa;Śródmieście;960000;20000;48;TWO;No data;floor_2;No data;secondary;full_ownership;balcony, garage;No data;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;No data;No data;No data;No data;No data;52.23773;21.00754
Stara Ochota, 36,5m2 – doskonała lokalizacja!;FLAT;Warszawa;Ochota;499000;13671;36.5;ONE;1953;floor_4;urban;secondary;full_ownership;basement;450;fridge, oven, stove, washing_machine;to_completion;tenement;brick;cable-television, internet;entryphone, monitoring;52.2140805;20.9741655
Sprzedam 3 pokoje 53m2 Bródno - bezpośrednio;FLAT;Warszawa;Targówek;499000;9415;53;THREE;1975;floor_1;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, basement, garage, lift;700;fridge, oven, stove;ready_to_use;block;concrete_plate;cable-television, internet, phone;anti_burglary_door;52.2898637;21.0297177
Dwustronne Słoneczne Garaż/Komórka;FLAT;Warszawa;Ursus;814000;10486;77.63;THREE;2010;floor_2;No data;secondary;full_ownership;balcony, garage, lift, terrace, usable_room;700;furniture;ready_to_use;block;other;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;52.18983;20.9113
Dwustronne Słoneczne Dwa Balkony;FLAT;Warszawa;Włochy;815000;11254;72.42;THREE;2009;floor_2;No data;secondary;No data;balcony, garage;No data;No data;No data;No data;No data;No data;No data;52.20893;20.89386
Mieszkanie/Apartament, 3 pokoje centrum + garaż;FLAT;Warszawa;Wola;1060000;15940;66.5;THREE;1968;floor_10;urban;secondary;full_ownership;balcony, basement, garage, lift, separate_kitchen;750;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;concrete_plate;cable-television, internet;entryphone, monitoring;52.22648234803318;20.989451213226275
Przytulne mieszkanie po generalnym remoncie;FLAT;Warszawa;Praga-Południe;470000;13056;36;TWO;1966;ground_floor;urban;secondary;full_ownership;basement;520;furniture;No data;block;brick;No data;No data;52.2462955;21.1048869
Twoje pierwsze mieszkanie w Warszawie;FLAT;Warszawa;Ursus;475000;10000;47.5;TWO;2001;floor_6;urban;secondary;full_ownership;balcony, garage, lift;800;fridge, furniture, oven, stove, washing_machine;ready_to_use;block;concrete;cable-television, internet;closed_area, entryphone;52.185521;20.867976
2 pokoje do remontu - Bemowo okazja!;FLAT;Warszawa;Bemowo;399000;10902;36.6;TWO;1980;floor_1;No data;secondary;co_operative_ownership;balcony, basement, lift, separate_kitchen;570;No data;to_renovation;block;concrete_plate;No data;entryphone;52.2498094;20.9145184
ul. Pięciolinii, 85m2, Bezpośrednio, Blisko metro;FLAT;Warszawa;Ursynów;910000;10706;85;FOUR;1979;floor_4;urban;secondary;co_operative_ownership;balcony, basement, separate_kitchen;No data;No data;ready_to_use;block;concrete_plate;cable-television, internet, phone;entryphone;52.156384043135745;21.026131632818622
3 pokoje | Saska Kępa | widna kuchnia;FLAT;Warszawa;Praga-Południe;669042;11990;55.8;THREE;1962;floor_3;urban;secondary;full_ownership;basement;856;furniture;to_renovation;block;other;No data;No data;52.23078;21.06375
2 pokoje z oddzielną windą kuchnią;FLAT;Warszawa;Śródmieście;435000;14500;30;TWO;1973;floor_3;urban;secondary;No data;No data;580;furniture;ready_to_use;block;other;No data;No data;52.21736;21.04463
2 pokoje na Powiślu;FLAT;Warszawa;Śródmieście;590000;16389;36;TWO;1965;floor_3;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, lift;630;No data;to_completion;block;other;No data;No data;52.23661;21.02752
OKAZJA! Obok Factory Ursus! Klucze na wiosnę!;FLAT;Warszawa;Ursus;399990;10254;39.01;TWO;2023;floor_1;urban;secondary;full_ownership;balcony, garage, lift;350;No data;to_completion;block;brick;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.20498085723644;20.87927783967284
"Property Tour" na YouTube - link w ogłoszeniu!;FLAT;Warszawa;Wilanów;9500000;33808;281;FIVE;2021;floor_2;No data;secondary;full_ownership;garage, terrace, usable_room;No data;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;No data;No data;No data;No data;52.17538;21.08207
Apartament 168m2 z widokiem na wodę!;FLAT;Warszawa;Mokotów;6000000;35714;168;FOUR;2018;floor_2;No data;secondary;No data;garage, lift, terrace;No data;No data;No data;No data;No data;No data;closed_area, entryphone, monitoring;52.18812;21.03922
2-pokojowe mieszkanie 45m2 + balkon Bezpośrednio;FLAT;Warszawa;Rembertów;447084;9900;45.16;TWO;2023;floor_5;No data;primary;full_ownership;garage, balcony, lift;No data;No data;to_completion;No data;No data;No data;closed_area;52.2745847;21.1174715
BEZPOŚREDNIO! Mieszkanie w rewitalizowanej kamieni;FLAT;Warszawa;Włochy;368000;11987;30.7;ONE;1935;floor_1;boiler_room;secondary;full_ownership;No data;300;No data;to_completion;tenement;brick;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;52.2086634;20.9131541
Przytulna kawalerka w doskonałej lokalizacji;FLAT;Warszawa;Śródmieście;565000;20179;28;ONE;1965;floor_5;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;basement, lift, separate_kitchen;260;dishwasher, fridge, washing_machine;ready_to_use;block;concrete_plate;cable-television, internet;anti_burglary_door, entryphone, monitoring;52.217675;21.232198
Słoneczne 4 pokoje na Bemowie;FLAT;Warszawa;Bemowo;750000;10417;72;FOUR;1976;floor_higher_10;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, basement, lift, separate_kitchen;800;No data;ready_to_use;block;reinforced_concrete;cable-television;No data;52.24091;20.91133
3-pokojowy apartament przy metrze Ursynów;FLAT;Warszawa;Ursynów;999000;13972;71.5;THREE;2002;floor_2;urban;secondary;full_ownership;balcony, garage;600;dishwasher, fridge, furniture, oven;ready_to_use;apartment;brick;No data;No data;52.13785;21.02912
Centrum - 3 pokoje z miejscem parkingowym;FLAT;Warszawa;Śródmieście;968000;16982;57;THREE;1969;floor_3;urban;secondary;co_operative_ownership;balcony, basement, garage, lift, separate_kitchen;480;dishwasher, fridge, furniture, oven, stove;ready_to_use;block;brick;cable-television, internet;anti_burglary_door, entryphone, monitoring;52.23313;21.019
Moja Północna II | mieszkanie B 23;FLAT;Warszawa;Białołęka;419520;13800;30.4;TWO;2023;floor_2;No data;primary;No data;balcony, garage, lift;No data;No data;to_completion;No data;No data;internet, phone;entryphone;52.31832;20.9607
Wyjątkowe Mieszkanie Eolian Park LIP-3-47;FLAT;Warszawa;Ursus;560883;9300;60.31;TWO;2023;floor_3;No data;primary;No data;balcony, garage, lift;No data;No data;No data;No data;No data;No data;No data;52.19580602658861;20.90674769311525
Warszawa Mieszkanie na sprzedaż;FLAT;Warszawa;Białołęka;380000;9383;40.5;ONE;2014;floor_1;urban;secondary;full_ownership;balcony;417;furniture;No data;block;other;cable-television, internet;closed_area, entryphone, monitoring;52.3437054;21.0548154
Bezpośrednio pl. Inwalidów gotowe do zamieszkania;FLAT;Warszawa;Żoliborz;900000;16981;53;TWO;No data;floor_3;urban;secondary;full_ownership;basement, separate_kitchen;675;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;tenement;brick;cable-television, internet;anti_burglary_door, entryphone, roller_shutters;52.26433558076956;20.98946280824278
Atrakcyjne 2-pokojowe mieszkanie. Basen na osiedlu;FLAT;Warszawa;Ursus;433000;9312;46.5;TWO;2002;floor_3;urban;secondary;full_ownership;basement, garage, lift;590;No data;ready_to_use;block;other;cable-television, internet;closed_area, entryphone, monitoring;52.18329;20.8685
Sprzedam mieszkanie - ul. Syreny 9. Metro Młynów;FLAT;Warszawa;Wola;670000;12642;53;THREE;No data;floor_1;urban;secondary;No data;No data;600;No data;to_completion;block;No data;cable-television, internet, phone;anti_burglary_door, entryphone;52.2380747;20.9621367
Bezpośrednio NOWE mieszkanie z widokiem na Wisłę;FLAT;Warszawa;Śródmieście;5600000;40000;140;FOUR;No data;floor_3;No data;secondary;full_ownership;air_conditioning, balcony, garage, lift, terrace;1600;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;apartment;No data;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.2301846;21.0414263
Metro Trocka: do własnej aranżacji, grunt ure;FLAT;Warszawa;Targówek;530000;9925;53.4;THREE;1970;floor_5;urban;secondary;full_ownership;balcony, basement, lift;570;furniture;to_renovation;block;other;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.27534;21.05563
Luksusowy Apartament 2 Pokoje;FLAT;Warszawa;Wola;1190000;25460;46.74;TWO;2019;floor_6;No data;secondary;full_ownership;air_conditioning, garage, lift;600;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;apartment;No data;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;52.2297544;20.9806246
Tuż obok Metra które powstanie Praga Południe;FLAT;Warszawa;Praga-Południe;465000;9647;48.2;TWO;1980;floor_5;No data;secondary;No data;balcony, basement;No data;No data;to_renovation;No data;No data;No data;No data;52.23777;21.07731
3 pokoje na Ursynowie blisko metra;FLAT;Warszawa;Ursynów;600000;9231;65;THREE;1988;floor_2;urban;secondary;co_operative_ownership;basement, balcony;1100;No data;to_renovation;block;breezeblock;No data;No data;52.13908186534;21.056682033913
Zamieszkaj w cichej i pięknej okolicy.;FLAT;Warszawa;Białołęka;565000;8333;67.8;THREE;2010;floor_2;urban;secondary;full_ownership;balcony, garage;720;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;brick;No data;anti_burglary_door, closed_area, entryphone, monitoring;52.36031;21.03529
Segment 115 m2;FLAT;Warszawa;Ursus;889000;7745;114.79;FOUR;2022;No data;No data;primary;full_ownership;garage, garden, two_storey;No data;No data;No data;ribbon;breezeblock;No data;closed_area;52.19512;20.88379
3 pokojowe na zielonych Bielanach. Ciche.;FLAT;Warszawa;Bielany;548000;10745;51;THREE;1974;ground_floor;urban;secondary;full_ownership;balcony, basement, lift;530;No data;No data;block;concrete_plate;No data;entryphone;52.2933234;20.928664
2 pok przytulne mieszkanie Włochy Krańcowa 36m2;FLAT;Warszawa;Włochy;520000;14444;36;TWO;2012;floor_3;urban;secondary;full_ownership;balcony, basement, lift, separate_kitchen;550;fridge, furniture, oven, stove, washing_machine;ready_to_use;block;breezeblock;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters;52.19622214554899;20.923302045754987
SPRZEDAM | 3 POKOJE | OFERTA PRYWATNA;FLAT;Warszawa;Ursus;649900;12498;52;THREE;2013;floor_1;urban;secondary;full_ownership;garage, lift;600;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;No data;cable-television, internet;closed_area, entryphone, monitoring;52.2069706;20.8669994
Bezpośrednio, Komfortowe 42 m2, Gocław;FLAT;Warszawa;Praga-Południe;540000;12857;42;TWO;No data;floor_7;urban;secondary;co_operative_ownership;balcony, basement, lift, separate_kitchen;370;furniture, oven, stove;ready_to_use;block;concrete_plate;No data;entryphone;52.2201541;21.0987282
Sprzedam -zaciszne 50m2 po remoncie;FLAT;Warszawa;Ursus;529000;10580;50;THREE;1952;floor_3;urban;secondary;full_ownership;basement, garage, usable_room;550;No data;ready_to_use;block;brick;No data;No data;52.193289;20.892144
Tarchomin, Bezpośredni, Gotowe. 3pok, 52m2, Balkon;FLAT;Warszawa;Białołęka;510000;9796;52.06;TWO;2020;floor_1;No data;primary;No data;No data;No data;No data;No data;No data;No data;No data;No data;52.3448225;20.941277
2pok. 37m2 na Ochocie;FLAT;Warszawa;Ochota;500000;13514;37;TWO;No data;floor_7;urban;secondary;full_ownership;balcony, basement, lift;550;furniture;No data;No data;No data;cable-television;alarm, anti_burglary_door, entryphone;52.2145328;20.969015
Rezerwacja! Rezerwacja! Rezerwacja!;FLAT;Warszawa;Śródmieście;880000;14667;60;THREE;No data;floor_3;urban;secondary;full_ownership;basement, separate_kitchen;700;fridge, furniture, oven, stove, washing_machine;ready_to_use;tenement;brick;No data;closed_area, entryphone, monitoring;52.23614;21.00817
Łowicka, Mokotów, Kawalerka - Bezpośrednio;FLAT;Warszawa;Mokotów;499000;17821;28;ONE;1950;floor_2;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;basement;550;dishwasher, fridge, furniture, stove, washing_machine;ready_to_use;tenement;brick;cable-television, internet, phone;anti_burglary_door, entryphone;52.201750192661926;21.006067148132338
Bezpośrednio, 2 pokoje niedaleko metra;FLAT;Warszawa;Praga-Północ;569000;16735;34;TWO;1953;floor_3;urban;secondary;full_ownership;balcony, basement;350;fridge, furniture, oven, stove;ready_to_use;tenement;brick;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.2633;21.02832
3-pokojowe mieszkanie 70m2 + loggia Bez Prowizji;FLAT;Warszawa;Bielany;842000;12022;70.04;THREE;2022;floor_1;No data;primary;full_ownership;garage, lift;No data;No data;to_completion;No data;No data;No data;closed_area;52.302160658005;20.927214581104
Dwupokojowe Mieszkanie w okolicy Placu Bankowego;FLAT;Warszawa;Wola;750000;14666;51.14;TWO;1951;floor_2;urban;secondary;full_ownership;No data;684;No data;to_renovation;block;brick;internet;anti_burglary_door, entryphone;52.24399;20.99694
Oddanie IIIkw 2023 / Widna kuchnia 2 pokoje;FLAT;Warszawa;Mokotów;547000;12816;42.68;TWO;2023;floor_5;urban;primary;full_ownership;balcony, garage, lift, separate_kitchen;No data;No data;No data;block;brick;cable-television, internet, phone;closed_area, entryphone, monitoring;52.20417;21.00083
Bez Prowizji | 2 pok | bez Pcc | Białołęka;FLAT;Warszawa;Białołęka;399999;8430;47.45;TWO;2022;floor_1;urban;primary;full_ownership;balcony, garage, lift;400;No data;ready_to_use;block;concrete;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;52.3283;21.0387
Mieszkanie przy Ogrodzie Saskim;FLAT;Warszawa;Śródmieście;999000;18500;54;TWO;1957;floor_3;urban;secondary;full_ownership;basement, lift, separate_kitchen;760;No data;ready_to_use;tenement;brick;No data;No data;52.238009033102394;21.00764044970704
Wum*Rozkładowe*Niski blok*Balkon*;FLAT;Warszawa;Włochy;599000;10153;59;THREE;1970;floor_4;urban;secondary;full_ownership;balcony, basement;700;fridge, furniture, oven, stove;to_completion;block;concrete_plate;cable-television, internet, phone;entryphone, monitoring;52.19319;20.97183
2-pokojowe mieszkanie 46m2 + balkon Bezpośrednio;FLAT;Warszawa;Bielany;640000;13787;46.42;TWO;2022;floor_2;No data;primary;full_ownership;garage, balcony, lift;No data;No data;to_completion;No data;No data;No data;closed_area;52.302160658005;20.927214581104
Bez prowizji / ogródek / 15 min do centrum;FLAT;Warszawa;Ursus;902000;7343;122.84;FOUR;2022;floor_1;gas;primary;full_ownership;garage, garden, two_storey;No data;No data;No data;block;No data;No data;closed_area, entryphone, monitoring;52.19832;20.89021
4-pokojowe mieszkanie/ 2 duże balkony/garaż;FLAT;Warszawa;Ursus;810000;10672;75.9;FOUR;2002;floor_1;boiler_room;secondary;full_ownership;balcony, garage, lift, separate_kitchen;1400;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;apartment;cellular_concrete;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;52.18955772612314;20.890312225903337
2 pokoje przy Polach Mokotowskich;FLAT;Warszawa;Mokotów;680000;15814;43;TWO;1962;floor_2;other;secondary;co_operative_ownership;basement, garage;600;furniture;No data;block;No data;cable-television, internet;No data;52.2088056;21.001838
Wyjątkowy loft z widokiem na panoramę centrum;FLAT;Warszawa;Wola;899650;15999;56.23;THREE;2022;floor_9;urban;secondary;full_ownership;basement, garage, lift, terrace, two_storey, usable_room;560;No data;to_completion;loft;concrete;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.231839436891;20.93731470666
Wyjątkowy loft z balkonem, cisza, widok na zieleń!;FLAT;Warszawa;Wola;798400;14199;56.23;THREE;2022;floor_3;urban;secondary;full_ownership;balcony, garage, lift, terrace, two_storey, usable_room;530;No data;to_completion;loft;concrete;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.231839436891;20.93731470666
Mieszkanie czteropokojowe na Odolanach;FLAT;Warszawa;Wola;1350000;17733;76.13;FOUR;2017;floor_6;urban;secondary;full_ownership;balcony, lift, separate_kitchen;No data;No data;ready_to_use;block;cellular_concrete;cable-television;closed_area, monitoring;52.2274;20.9538
5 mieszkań na 1Kw/ Po remoncie blisko Metra;FLAT;Warszawa;Praga-Północ;1600000;8163;196;FIVE;No data;floor_4;urban;secondary;full_ownership;No data;3600;fridge, furniture, oven, stove, washing_machine;ready_to_use;house;brick;No data;entryphone, monitoring;52.2489516;21.0406548
Cesja kawalerki na Woli;FLAT;Warszawa;Wola;578000;17967;32.17;ONE;2021;floor_8;urban;primary;No data;balcony, garage, lift;No data;dishwasher, fridge, furniture, oven, stove;ready_to_use;apartment;other;No data;anti_burglary_door, entryphone, monitoring;52.22441;20.94515
Na Start | 2pok | DWA balkony | LUB Inwestycyjne!;FLAT;Warszawa;Wilanów;895000;15982;56;TWO;2011;floor_3;urban;secondary;full_ownership;balcony, lift, separate_kitchen;600;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;apartment;reinforced_concrete;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;52.1608237;21.0780113
Pracujący apartament z tarasem przy Grzybowskiej!;FLAT;Warszawa;Wesoła;690000;24433;28.24;ONE;2022;floor_2;No data;secondary;full_ownership;air_conditioning, balcony, lift, terrace;No data;fridge, furniture, stove, tv;ready_to_use;apartment;No data;No data;closed_area;52.23424776182207;20.989391440475487
Miłe mieszkanie na Żoliborzu;FLAT;Warszawa;Żoliborz;630000;16579;38;TWO;1960;floor_5;urban;secondary;No data;balcony, basement, lift;No data;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;other;cable-television, internet;anti_burglary_door, entryphone, monitoring;52.26999;20.96649
Bez Prowizji | 3 pokoje | bez Pcc | wykończone |;FLAT;Warszawa;Białołęka;569999;11633;49;THREE;2022;floor_1;urban;secondary;full_ownership;balcony, basement, garage, lift, usable_room;450;furniture;ready_to_use;block;concrete;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;52.3309;21.0461
Apartament z dużym tarasem na bliskiej Woli;FLAT;Warszawa;Wola;1850000;17130;108;THREE;2008;floor_8;urban;secondary;full_ownership;balcony, garage, lift, two_storey;900;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;apartment;cellular_concrete;cable-television, internet;anti_burglary_door, entryphone, monitoring;52.23040330999678;20.971030927352892
Mieszkanie w najpiękniejszej kamienicy w Warszawie;FLAT;Warszawa;Śródmieście;1220000;19974;61.08;TWO;1935;floor_2;urban;secondary;full_ownership;balcony, lift;900;furniture;No data;tenement;No data;No data;anti_burglary_door, closed_area, entryphone, monitoring;52.226928;21.0125728
Mieszkanie 60,1 m2 | 2 pokoje | BEZPOŚREDNIO;FLAT;Warszawa;Praga-Południe;781000;12995;60.1;TWO;2000;floor_2;urban;secondary;co_operative_ownership;balcony, basement, garage;No data;No data;ready_to_use;block;No data;No data;closed_area, entryphone, monitoring;52.2312959;21.0862978
Żoliborz Park Kellera gotowe 3 pok. I piętro +balk;FLAT;Warszawa;Bielany;1116220;17000;65.66;THREE;2021;floor_1;boiler_room;primary;full_ownership;balcony, garage, lift;10;No data;to_completion;apartment;silikat;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, roller_shutters;52.23614;21.00817
Bezposrednio 3/4 pokoje,osiedle strzeżone,metro;FLAT;Warszawa;Bemowo;799900;12547;63.75;THREE;2005;floor_2;urban;secondary;full_ownership;balcony, garage, lift, separate_kitchen;No data;fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;apartment;other;cable-television, internet;closed_area, entryphone, monitoring;52.2524675;20.923903
Kawalerka 27m2 idealna pod inwestycje na Woli;FLAT;Warszawa;Wola;458999;17000;27;ONE;1980;floor_higher_10;urban;secondary;co_operative_ownership;balcony, basement, lift;500;furniture;No data;block;No data;cable-television, internet;alarm, anti_burglary_door, entryphone, roller_shutters;52.2347765;20.9907127
Kawalerka na sprzedaż, Hoża;FLAT;Warszawa;Śródmieście;560000;23431;23.9;ONE;1961;floor_4;urban;secondary;full_ownership;basement, lift, usable_room;400;furniture;ready_to_use;block;No data;No data;No data;52.22657725;21.01641624
METRO | Widne | Rozkładowe;FLAT;Warszawa;Bielany;740000;11455;64.6;FOUR;1979;floor_6;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, basement, lift;732;fridge, furniture, oven, stove;ready_to_use;block;concrete_plate;cable-television, internet, phone;anti_burglary_door, entryphone;52.29332;20.92866
Trzypokojowe mieszkanie na Gocławiu;FLAT;Warszawa;Praga-Południe;780000;11437;68.2;THREE;1995;floor_1;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, basement, lift;800;dishwasher, fridge, oven, stove;ready_to_use;block;No data;cable-television, internet, phone;anti_burglary_door, entryphone, roller_shutters;52.2293443;21.0980687
Kawalerka na Mokotowie;FLAT;Warszawa;Mokotów;495000;15968;31;ONE;1973;ground_floor;urban;secondary;full_ownership;No data;450;No data;No data;block;No data;internet;anti_burglary_door, entryphone;52.166088;21.006868
Marywilska | Warszawa | Kawalerka | 2018r;FLAT;Warszawa;Białołęka;399999;12870;31.08;ONE;2018;floor_3;urban;secondary;full_ownership;balcony, basement, garage, lift, separate_kitchen;400;furniture, washing_machine;ready_to_use;block;concrete;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;52.3192;20.9996
Dywizjonu 303, cicha oklica, blisko metra;FLAT;Warszawa;Bemowo;620000;12518;49.53;TWO;2010;ground_floor;urban;secondary;full_ownership;balcony, garage, lift, separate_kitchen;600;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;silikat;cable-television, internet;closed_area, entryphone, monitoring;52.246165727185264;20.902746237512225
3-pokojowe mieszkanie 68m2 + loggia Bez Prowizji;FLAT;Warszawa;Mokotów;953120;14000;68.08;THREE;2024;floor_1;No data;primary;full_ownership;garage, lift;No data;No data;to_completion;No data;No data;No data;closed_area;52.209558323492;21.064195704369
3pok., 55m2, osiedle Aurora, Warszawa Włochy;FLAT;Warszawa;Włochy;655000;11913;54.98;THREE;2023;floor_6;No data;secondary;full_ownership;balcony, garage, lift, separate_kitchen;No data;No data;to_completion;No data;No data;No data;No data;52.190041;20.9271919
Przytulne 36m2, 2-pokojowe, gotowe do wejścia!;FLAT;Warszawa;Praga-Południe;420000;11667;36;TWO;1964;floor_4;urban;secondary;full_ownership;basement;450;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;other;No data;entryphone;52.24886;21.09341
4-pokojowe mieszkanie 85m2 + balkon;FLAT;Warszawa;Wola;1558000;18271;85.27;FOUR;2023;floor_5;No data;primary;full_ownership;garage, balcony, lift;No data;No data;to_completion;No data;No data;No data;No data;52.223824273231;20.971056233731
Mieszkanie 3 pokojowe 51,7m2 z balkonem i tarasem;FLAT;Warszawa;Wola;900000;17408;51.7;THREE;2016;floor_6;urban;secondary;full_ownership;air_conditioning, balcony, basement, garage, lift, separate_kitchen, terrace;600;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;block;reinforced_concrete;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;52.221254542939086;20.934986619018535
3pokoje cicha okolica metro Ulrychów Bezpośrednio!;FLAT;Warszawa;Wola;790000;14852;53.19;THREE;2010;floor_5;urban;secondary;full_ownership;air_conditioning, balcony, garage, lift;510;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;No data;cable-television, internet;entryphone, monitoring;52.239477320061305;20.92662427490233
Nowe gustownie wykończone 4 pokoje, 2 łazienki;FLAT;Warszawa;Mokotów;1295000;14800;87.5;ONE;2021;floor_4;urban;secondary;full_ownership;balcony, lift, terrace;No data;No data;No data;No data;No data;cable-television, internet;No data;52.18125;21.0455
